,Date,State/UT,Latitude,Longitude,Confirmed,Active,Deaths,Mortality rate,Cured,Recovery rate
251,2020/03/21,Delhi,28.7041,77.1025,26,20,1,0.038461538461538464,5,0.19230769230769232
252,2020/03/21,Gujarat,22.2587,71.1924,7,7,0,0.0,0,0.0
253,2020/03/21,Haryana,29.0588,76.0856,17,17,0,0.0,0,0.0
254,2020/03/21,Himachal Pradesh,31.1048,77.1734,2,2,0,0.0,0,0.0
255,2020/03/21,Jammu and Kashmir,33.7782,76.5762,4,4,0,0.0,0,0.0
256,2020/03/21,Karnataka,15.3173,75.7139,15,13,1,0.06666666666666667,1,0.06666666666666667
257,2020/03/21,Kerala,10.8505,76.2711,40,37,0,0.0,3,0.075
258,2020/03/21,Ladakh,34.2996,78.2932,13,13,0,0.0,0,0.0
259,2020/03/21,Madhya Pradesh,22.9734,78.6569,4,4,0,0.0,0,0.0
260,2020/03/21,Maharashtra,19.7515,75.7139,63,62,1,0.015873015873015872,0,0.0
261,2020/03/21,Odisha,20.9517,85.0985,2,2,0,0.0,0,0.0
262,2020/03/21,Puducherry,11.9416,79.8083,1,1,0,0.0,0,0.0
263,2020/03/21,Punjab,31.1471,75.3412,13,12,1,0.07692307692307693,0,0.0
264,2020/03/21,Rajasthan,27.0238,74.2179,17,14,0,0.0,3,0.17647058823529413
265,2020/03/21,Tamil Nadu,11.1271,78.6569,3,2,0,0.0,1,0.3333333333333333
266,2020/03/21,Telengana,18.1124,79.0193,21,20,0,0.0,1,0.047619047619047616
267,2020/03/21,Uttar Pradesh,26.8467,80.9462,24,15,0,0.0,9,0.375
268,2020/03/21,Uttarakhand,30.0668,79.0193,3,3,0,0.0,0,0.0
269,2020/03/21,West Bengal,22.9868,87.855,3,3,0,0.0,0,0.0
270,2020/03/22,Andhra Pradesh,15.9129,79.74,5,5,0,0.0,0,0.0
271,2020/03/22,Bihar,25.0961,85.3131,2,1,1,0.5,0,0.0
272,2020/03/22,Chandigarh,30.7333,76.7794,5,5,0,0.0,0,0.0
273,2020/03/22,Chhattisgarh,21.2787,81.8661,1,1,0,0.0,0,0.0
274,2020/03/22,Delhi,28.7041,77.1025,29,23,1,0.034482758620689655,5,0.1724137931034483
275,2020/03/22,Gujarat,22.2587,71.1924,18,17,1,0.05555555555555555,0,0.0
276,2020/03/22,Haryana,29.0588,76.0856,21,21,0,0.0,0,0.0
277,2020/03/22,Himachal Pradesh,31.1048,77.1734,2,2,0,0.0,0,0.0
278,2020/03/22,Jammu and Kashmir,33.7782,76.5762,4,4,0,0.0,0,0.0
279,2020/03/22,Karnataka,15.3173,75.7139,26,23,1,0.038461538461538464,2,0.07692307692307693
280,2020/03/22,Kerala,10.8505,76.2711,52,49,0,0.0,3,0.057692307692307696
281,2020/03/22,Ladakh,34.2996,78.2932,13,13,0,0.0,0,0.0
282,2020/03/22,Madhya Pradesh,22.9734,78.6569,4,4,0,0.0,0,0.0
283,2020/03/22,Maharashtra,19.7515,75.7139,67,65,2,0.029850746268656716,0,0.0
284,2020/03/22,Odisha,20.9517,85.0985,2,2,0,0.0,0,0.0
